# fecha: 2026-09-15T11:37:36
# python: 3.14.2
# numpy: 2.4.3
# sha_v7: 3db0475ef0ea95ce
# sha_v7i: ddc6ad2816c965f6
# sha_este: 814fce58e7409a05
# NS: 20
# T: 100000
# condiciones: {"D_comida_solB0": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 0}", "BD", 0], "D_comida_solB1": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 1}", "BD", 1], "D_comida_solB2": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 2}", "BD", 2], "AB0": ["{}", "AB", 0], "AB1": ["{'solap_AB': 1}", "AB", 1], "AB2": ["{'solap_AB': 2}", "AB", 2], "AB3": ["{'solap_AB': 3}", "AB", 3], "E2I_C_libre": ["{'nuevo': 'C'}", "AC", null], "CTRL_D_veneno_solB1": ["{'nuevo': 'D', 'nuevo_val': 'veneno', 'solap_B': 1}", "BD", 1], "CTRL_D_veneno_solB2": ["{'nuevo': 'D', 'nuevo_val': 'veneno', 'solap_B': 2}", "BD", 2]}
cond,seed,plast,solap_nominal,solap_par,solap_medido,solap_AB,solap_AC,solap_AD,solap_BC,solap_BD,solap_CD,splits,celdas,primer_split,estimulos_split,W_A,W_B,W_C,W_D,err_max,err_max_A,err_max_B,err_max_C,err_max_D,deaths
AB1,4,True,1,AB,1,1,1,1,0,0,0,2,32,3022,B,1.0,-2.98,1.79,-2.19,0.6083,0.5819,0.6083,0.0,0.0,159
AB1,5,True,1,AB,1,1,0,0,0,1,1,0,30,,,1.0,-3.0,0.0,-1.25,0.597,0.5942,0.597,0.0,0.0,128
AB1,6,True,1,AB,1,1,0,0,0,1,0,0,30,,,1.0,-2.99,0.0,-1.25,0.56,0.5556,0.56,0.0,0.0,108
AB1,7,True,1,AB,1,1,0,0,1,1,2,0,30,,,1.0,-2.99,-1.24,-1.24,0.5983,0.5954,0.5983,0.0,0.0,122
AB1,8,True,1,AB,1,1,0,0,1,1,2,6,36,2343,AB,1.0,-3.0,-2.34,-1.08,0.6219,0.6219,0.6114,0.0,0.0,149
AB1,9,True,1,AB,1,1,1,0,0,1,1,2,32,2698,B,0.99,-2.98,1.79,-3.1,0.6108,0.5844,0.6108,0.0,0.0,163
AB1,10,True,1,AB,1,1,0,0,1,0,1,2,32,1826,B,0.99,-2.97,-2.18,-2.18,0.6022,0.5854,0.6022,0.0,0.0,154
AB1,11,True,1,AB,1,1,0,0,0,0,2,2,32,1454,AB,1.0,-2.97,0.0,-2.18,0.6052,0.6008,0.6052,0.0,0.0,147
AB1,12,True,1,AB,1,1,0,0,0,0,2,0,30,,,1.0,-2.99,0.0,0.0,0.5985,0.5978,0.5985,0.0,0.0,160
AB1,13,True,1,AB,1,1,1,0,1,1,1,0,30,,,1.0,-3.0,-0.5,-1.25,0.5875,0.5839,0.5875,0.0,0.0,135
AB1,14,True,1,AB,1,1,0,0,0,2,0,0,30,,,1.0,-3.0,0.0,-2.5,0.5647,0.5609,0.5647,0.0,0.0,149
AB1,15,True,1,AB,1,1,1,0,0,1,1,0,30,,,1.0,-3.0,0.75,-1.25,0.5952,0.5942,0.5952,0.0,0.0,171
AB1,16,True,1,AB,1,1,0,0,0,0,2,0,30,,,1.0,-2.99,0.0,0.0,0.5646,0.5609,0.5646,0.0,0.0,150
AB1,17,True,1,AB,1,1,0,0,0,0,0,0,30,,,1.0,-3.0,0.0,0.0,0.5901,0.5884,0.5901,0.0,0.0,141
AB1,18,True,1,AB,1,1,0,0,2,2,2,2,32,2087,AB,0.99,-2.98,-3.07,-3.07,0.6034,0.6018,0.6034,0.0,0.0,154
AB1,19,True,1,AB,1,1,0,0,1,1,2,0,30,,,1.0,-2.99,-1.25,-1.25,0.5718,0.5692,0.5718,0.0,0.0,138
AB1,20,True,1,AB,1,1,0,0,0,1,1,2,32,2326,B,1.0,-2.98,0.0,-0.89,0.6033,0.5986,0.6033,0.0,0.0,166
AB1,1,False,1,AB,1,1,1,1,1,1,2,0,30,,,1.0,-2.99,-0.5,-0.5,0.5789,0.5765,0.5789,0.0,0.0,143
AB1,2,False,1,AB,1,1,0,0,1,1,1,0,30,,,1.0,-3.0,-1.25,-1.25,0.5975,0.5951,0.5975,0.0,0.0,177
AB1,3,False,1,AB,1,1,0,0,1,2,1,0,30,,,1.0,-3.0,-1.25,-2.5,0.6023,0.6,0.6023,0.0,0.0,149
AB1,4,False,1,AB,1,1,1,1,0,0,0,0,30,,,1.0,-3.0,0.75,0.75,0.6003,0.5995,0.6003,0.0,0.0,164
AB1,5,False,1,AB,1,1,0,0,0,1,1,0,30,,,1.0,-3.0,0.0,-1.25,0.597,0.5942,0.597,0.0,0.0,128
AB1,6,False,1,AB,1,1,0,0,0,1,0,0,30,,,1.0,-2.99,0.0,-1.25,0.56,0.5556,0.56,0.0,0.0,108
AB1,7,False,1,AB,1,1,0,0,1,1,2,0,30,,,1.0,-2.99,-1.24,-1.24,0.5983,0.5954,0.5983,0.0,0.0,122
AB1,8,False,1,AB,1,1,0,0,1,1,2,0,30,,,1.0,-2.99,-1.25,-1.25,0.6085,0.6076,0.6085,0.0,0.0,141
AB1,9,False,1,AB,1,1,1,0,0,1,1,0,30,,,1.0,-3.0,0.75,-1.25,0.6049,0.6027,0.6049,0.0,0.0,145
AB1,10,False,1,AB,1,1,0,0,1,0,1,0,30,,,1.0,-2.99,-1.25,0.0,0.6034,0.6015,0.6034,0.0,0.0,137
AB1,11,False,1,AB,1,1,0,0,0,0,2,0,30,,,1.0,-3.0,0.0,0.0,0.6068,0.6068,0.6068,0.0,0.0,156
AB1,12,False,1,AB,1,1,0,0,0,0,2,0,30,,,1.0,-2.99,0.0,0.0,0.5985,0.5978,0.5985,0.0,0.0,160
AB1,13,False,1,AB,1,1,1,0,1,1,1,0,30,,,1.0,-3.0,-0.5,-1.25,0.5875,0.5839,0.5875,0.0,0.0,135
AB1,14,False,1,AB,1,1,0,0,0,2,0,0,30,,,1.0,-3.0,0.0,-2.5,0.5647,0.5609,0.5647,0.0,0.0,149
AB1,15,False,1,AB,1,1,1,0,0,1,1,0,30,,,1.0,-3.0,0.75,-1.25,0.5952,0.5942,0.5952,0.0,0.0,171
AB1,16,False,1,AB,1,1,0,0,0,0,2,0,30,,,1.0,-2.99,0.0,0.0,0.5646,0.5609,0.5646,0.0,0.0,150
AB1,17,False,1,AB,1,1,0,0,0,0,0,0,30,,,1.0,-3.0,0.0,0.0,0.5901,0.5884,0.5901,0.0,0.0,141
AB1,18,False,1,AB,1,1,0,0,2,2,2,0,30,,,1.0,-2.99,-2.5,-2.5,0.609,0.6088,0.609,0.0,0.0,151
AB1,19,False,1,AB,1,1,0,0,1,1,2,0,30,,,1.0,-2.99,-1.25,-1.25,0.5718,0.5692,0.5718,0.0,0.0,138
AB1,20,False,1,AB,1,1,0,0,0,1,1,0,30,,,1.0,-3.0,0.0,-1.25,0.6085,0.6083,0.6085,0.0,0.0,172
AB2,1,True,2,AB,2,2,1,1,0,1,1,6,36,620,AB,1.0,-3.0,0.47,-0.24,0.6228,0.6228,0.6172,0.0,0.0,154
AB2,2,True,2,AB,2,2,0,0,1,1,1,5,35,343,AB,1.0,-3.0,-0.68,-0.68,0.6125,0.6041,0.6125,0.0,0.0,153
AB2,3,True,2,AB,2,2,0,0,1,1,1,6,36,459,AB,1.0,-3.0,-0.69,-0.69,0.6394,0.6394,0.6018,0.0,0.0,158
AB2,4,True,2,AB,2,2,1,0,0,0,0,6,36,728,AB,1.0,-3.0,0.53,0.0,0.6256,0.6172,0.6256,0.0,0.0,154
AB2,5,True,2,AB,2,2,0,0,0,0,1,5,35,991,B,1.0,-3.0,0.0,0.0,0.6224,0.6,0.6224,0.0,0.0,144
AB2,6,True,2,AB,2,2,0,0,0,0,0,5,35,1109,AB,1.0,-3.0,0.0,0.0,0.6247,0.6247,0.6137,0.0,0.0,140
AB2,7,True,2,AB,2,2,0,0,0,0,1,5,35,987,AB,1.0,-3.0,0.0,0.0,0.6108,0.6108,0.6013,0.0,0.0,155
AB2,8,True,2,AB,2,2,0,0,0,1,1,6,36,537,AB,1.0,-3.0,0.0,-0.73,0.6086,0.6056,0.6086,0.0,0.0,122
