[17:33:38] SUBIDA N6 — mundos {'P': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4}, 'E': {'ancho': 15, 'alto': 13, 'cierre': 6, 'd_ini': 5}} r_vis=1 T=100000 n_tel=40 semillas 6621-6640 brazos 11 pool=6 pid=23580 mundo_subida 484e34db8f2150da
[17:33:38]   regla 14 CIEGO  : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:33:38]   regla 14 CAMINO : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:38:58]   114/220  BRUJULA s6634  14.6s
[17:39:01]   115/220  BRUJULA s6635  17.8s
[17:39:02]   116/220  BRUJULA s6637  16.3s
[17:39:03]   117/220  BRUJULA s6636  17.6s
[17:39:07]   118/220  BRUJULA s6638  16.6s
[17:39:13]   119/220  BRUJULA s6640  15.2s
[17:39:13]   120/220  BRUJULA s6639  15.9s
[17:39:16]   121/220  BARAJADO s6621  14.4s
[17:39:17]   122/220  BARAJADO s6623  14.3s
[17:39:17]   123/220  BARAJADO s6622  15.8s
[17:39:22]   124/220  BARAJADO s6624  15.1s
[17:39:28]   125/220  BARAJADO s6625  15.4s
[17:39:29]   126/220  BARAJADO s6626  15.6s
[17:39:31]   127/220  BARAJADO s6627  15.2s
[17:39:33]   128/220  BARAJADO s6629  15.5s
[17:39:33]   129/220  BARAJADO s6628  16.0s
[17:39:38]   130/220  BARAJADO s6630  16.3s
[17:39:43]   131/220  BARAJADO s6632  13.9s
[17:39:43]   132/220  BARAJADO s6631  14.9s
[17:39:46]   133/220  BARAJADO s6634  13.4s
[17:39:47]   134/220  BARAJADO s6633  15.8s
[17:39:49]   135/220  BARAJADO s6635  16.4s
[17:39:55]   136/220  BARAJADO s6636  16.3s
[17:39:58]   137/220  BARAJADO s6638  14.4s
[17:39:58]   138/220  BARAJADO s6637  15.1s
[17:40:01]   139/220  BARAJADO s6640  14.4s
[17:40:01]   140/220  BARAJADO s6639  14.9s
[17:40:03]   141/220  INVERTIDO s6621  13.4s
[17:40:10]   142/220  INVERTIDO s6622  15.1s
[17:40:12]   143/220  INVERTIDO s6623  14.0s
[17:40:12]   144/220  INVERTIDO s6624  14.2s
[17:40:16]   145/220  INVERTIDO s6625  14.8s
[17:40:16]   146/220  INVERTIDO s6626  14.9s
[17:40:17]   147/220  INVERTIDO s6627  14.5s
[17:40:26]   148/220  INVERTIDO s6628  16.5s
[17:40:27]   149/220  INVERTIDO s6629  15.0s
[17:40:28]   150/220  INVERTIDO s6630  16.2s
[17:40:30]   151/220  INVERTIDO s6632  13.9s
[17:40:31]   152/220  INVERTIDO s6631  15.0s
[17:40:33]   153/220  INVERTIDO s6633  15.8s
[17:40:40]   154/220  INVERTIDO s6634  13.9s
[17:40:43]   155/220  INVERTIDO s6635  16.4s
[17:40:44]   156/220  INVERTIDO s6636  16.2s
[17:40:45]   157/220  INVERTIDO s6637  14.9s
[17:40:46]   158/220  INVERTIDO s6638  14.7s
[17:40:48]   159/220  INVERTIDO s6639  15.2s
[17:40:55]   160/220  INVERTIDO s6640  14.5s
[17:40:57]   161/220  PLACEBO s6621  14.3s
