# fecha: 2026-09-15 11:59:44
# rama: 3T_temporal
# tag: BAR4.5
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C3']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000, 'nkmax': 90, 'wclip': 4.5}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 96.7
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C3,11,0.0,0.0,0.0,-0.0,0.0,13.5,13.5,13.5,13.5,2,0,3,0,0,2,2,0.0,0.2068,0.2261,0.2719,0.2913,0.0,0.3098,0.3112,0.3484,0.3653,60,90,76658,0.559,0.7128,0.7457,0.6129,0.513,0.5188,0.5198,0.5116,0.5058,0.194,0.2259,0.1013,0.0072,0.5625,0.5039,0.0586,256,283,217,285,631,114,74,180,599,426,315,487,1261,151,-1485.0,1.424
C3,12,-2.965,0.996,-0.003,0.004,3.961,8.653,11.617,11.913,10.917,1,0,3,1,1,1,1,0.0,0.124,0.124,0.124,0.124,0.0,0.2864,0.2864,0.2864,0.2864,10,40,,0.569,0.7319,0.8176,0.9408,0.9225,0.5455,0.5502,0.5824,0.5836,0.1864,0.2674,0.3584,0.339,0.6423,0.5308,0.1115,260,202,121,143,131,74,27,9,11,329,181,212,199,119,234.0,0.95
C3,13,-2.985,0.999,-0.0,0.013,3.984,10.443,13.428,13.347,12.348,0,1,3,0,0,0,0,0.0,0.1768,0.1768,0.1768,0.1768,0.0,0.3464,0.3464,0.3464,0.3464,16,46,,0.541,0.6434,0.8788,0.9173,0.9111,0.5371,0.5791,0.6111,0.5833,0.1063,0.2997,0.3062,0.3278,0.4839,0.5027,-0.0188,185,157,145,122,123,87,20,11,12,281,227,209,189,120,157.0,0.064
C3,14,0.0,0.0,0.0,-0.0,0.0,13.5,13.5,13.5,13.5,3,0,3,3,3,3,3,0.0,0.3518,0.3518,0.3518,0.3518,0.0,0.3829,0.3829,0.3829,0.3829,60,90,12139,0.506,0.4771,0.4974,0.4899,0.4921,0.4867,0.5006,0.4807,0.5019,-0.0097,-0.0032,0.0092,-0.0098,0.5463,0.5466,-0.0003,236,489,668,632,653,536,675,658,674,972,1344,1196,1335,278,-5187.0,1.458
C3,15,0.0,0.0,0.0,0.0,0.0,13.5,13.5,13.5,13.5,2,0,3,2,2,2,2,0.0,0.3724,0.3724,0.3724,0.3724,0.0,0.4565,0.4565,0.4565,0.4565,60,90,14500,0.509,0.5347,0.528,0.5263,0.4967,0.5269,0.5187,0.5072,0.4933,0.0078,0.0093,0.0191,0.0034,0.6364,0.5636,0.0727,275,555,660,650,672,483,590,585,681,1156,1347,1269,1319,189,-4480.0,1.484
C3,16,-2.975,0.999,-0.001,0.0,3.974,10.148,13.123,11.987,10.988,1,0,3,1,1,1,1,0.0,0.1366,0.1366,0.1366,0.1366,0.0,0.2627,0.2627,0.2627,0.2627,13,43,,0.6,0.6957,0.9355,0.901,0.9297,0.5424,0.5664,0.5911,0.5975,0.1532,0.3691,0.3099,0.3322,0.621,0.5634,0.0576,284,192,174,91,119,84,12,10,9,325,243,146,190,126,231.0,1.458
C3,17,-2.989,1.0,-0.0,-0.0,3.989,8.337,11.326,9.715,8.715,0,0,3,0,0,0,0,0.0,0.1325,0.1325,0.1325,0.1325,0.0,0.2612,0.2612,0.2612,0.2612,14,44,,0.548,0.6926,0.8385,0.9533,0.9403,0.5441,0.5793,0.5714,0.589,0.1485,0.2592,0.3819,0.3513,0.5059,0.5602,-0.0543,191,169,109,143,126,75,21,7,8,289,179,200,192,110,214.0,1.196
C3,18,-2.977,0.998,-0.001,0.005,3.975,9.014,11.991,12.79,11.792,1,1,3,1,1,1,1,0.0,0.159,0.159,0.159,0.159,0.0,0.3069,0.3069,0.3069,0.3069,14,44,,0.559,0.6667,0.8836,0.8447,0.9077,0.5534,0.5602,0.5577,0.571,0.1133,0.3233,0.287,0.3367,0.4659,0.5606,-0.0947,198,168,129,136,118,84,17,25,12,310,186,203,173,132,137.0,0.3
C3,19,-2.993,1.0,-0.0,-0.0,3.993,8.463,11.456,9.911,8.911,0,2,3,0,0,0,0,0.0,0.1536,0.1536,0.1536,0.1536,0.0,0.2903,0.2903,0.2903,0.2903,15,45,,0.59,0.711,0.8944,0.8739,0.8947,0.5288,0.5617,0.5542,0.573,0.1822,0.3326,0.3197,0.3217,0.4607,0.4793,-0.0186,169,187,127,97,102,76,15,14,12,293,182,138,153,140,162.0,0.478
C3,20,-2.974,0.999,-0.0,0.004,3.973,9.737,12.711,13.212,12.213,1,0,3,1,1,1,1,0.0,0.1771,0.1771,0.1771,0.1771,0.0,0.3387,0.3387,0.3387,0.3387,15,45,,0.578,0.6652,0.8828,0.871,0.9091,0.5465,0.5619,0.5642,0.571,0.1187,0.3208,0.3067,0.3381,0.5833,0.6107,-0.0273,244,153,128,135,130,77,17,20,13,275,186,203,188,123,165.0,0.986
