# fecha: 2026-09-15 11:52:29
# rama: 3T_temporal
# tag: PH3
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C1', 'C2', 'C3', 'C3C']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000, 'nkmax': 90, 'wclip': 30.0}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 61.2
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C1,12,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5084,0.4726,0.4888,0.5153,0.53,0.5392,0.4878,0.5109,-0.0217,-0.0667,0.001,0.0045,0.5726,0.5761,-0.0034,276,243,155,350,673,235,173,366,633,537,386,680,1366,144,-2800.0,1.152
C1,13,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4611,0.4693,0.4648,0.4988,0.4927,0.5079,0.5222,0.5062,-0.0316,-0.0387,-0.0574,-0.0075,0.4839,0.4918,-0.0079,183,160,145,211,611,187,164,243,614,335,321,494,1256,161,-2497.0,1.494
C1,14,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4667,0.4724,0.4575,0.4934,0.5456,0.5307,0.5054,0.4915,-0.0789,-0.0583,-0.0479,0.002,0.5,0.5333,-0.0333,150,133,180,167,676,152,201,198,694,340,433,373,1324,169,-2579.0,1.466
C1,15,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5237,0.5255,0.509,0.4975,0.5601,0.5428,0.5074,0.5139,-0.0364,-0.0173,0.0016,-0.0164,0.6038,0.5985,0.0053,264,221,258,507,601,201,233,489,607,535,585,1026,1277,159,-3003.0,1.498
C1,16,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4779,0.4975,0.5265,0.4923,0.5029,0.5132,0.5489,0.5036,-0.025,-0.0156,-0.0224,-0.0114,0.5119,0.5257,-0.0138,175,205,202,467,637,224,204,420,657,432,430,1077,1315,169,-3004.0,1.458
C1,17,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5321,0.506,0.5005,0.4892,0.5444,0.5359,0.4952,0.5004,-0.0123,-0.0299,0.0053,-0.0112,0.5956,0.5584,0.0371,308,224,210,498,654,197,205,497,683,503,477,976,1341,180,-3160.0,1.496
C1,18,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4944,0.488,0.497,0.5084,0.521,0.5202,0.5103,0.5148,-0.0266,-0.0322,-0.0133,-0.0064,0.5556,0.5459,0.0097,218,175,203,413,633,179,213,418,612,385,451,864,1321,159,-2842.0,1.472
C1,19,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4789,0.4604,0.5195,0.5108,0.5109,0.5257,0.5101,0.4983,-0.0321,-0.0652,0.0094,0.0126,0.5556,0.5517,0.0038,261,204,157,452,661,222,184,418,633,443,380,906,1283,162,-2897.0,1.062
C1,20,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4848,0.5035,0.4962,0.5259,0.5525,0.5193,0.5008,0.507,-0.0678,-0.0158,-0.0046,0.0189,0.5354,0.5561,-0.0207,223,159,213,458,650,169,210,465,586,405,457,926,1271,165,-2810.0,1.206
C2,1,-2.992,1.0,-0.0,0.0,3.992,0.0,2.992,1.143,0.143,0,1,0,0,0,0,0,0.5003,0.5003,0.5003,0.5003,0.5003,0.4772,0.4772,0.4772,0.4772,0.4772,0,30,,,0.8263,0.968,0.9379,0.9392,0.5451,0.5996,0.5718,0.5556,0.2812,0.3684,0.3661,0.3836,0.75,0.5203,0.2297,148,176,212,151,139,37,7,10,9,253,328,215,185,102,489.0,1.146
