[15:22:01] [40/100] AZAR_S s22008: persiste 1 (vivos 4) · prev_post 0.55036 · D -0.016419 · err60 None (268.8 s; 3108 s)
[15:22:30] [41/100] VIDA_S s22009: persiste 0 (vivos 0) · prev_post 0.256134 · D 0.026365 · err60 None (233.4 s; 3137 s)
[15:22:51] [42/100] INERTE s22009: persiste 0 (vivos 0) · prev_post 0.712121 · D 0.02364 · err60 None (226.7 s; 3158 s)
[15:25:34] [43/100] BARAJADO s22009: persiste 0 (vivos 0) · prev_post 0.325149 · D 0.007764 · err60 None (212.3 s; 3321 s)
[15:26:37] [44/100] AZAR_S s22009: persiste 0 (vivos 0) · prev_post 0.240293 · D -0.051383 · err60 None (226.2 s; 3384 s)
[15:26:46] [45/100] SIN_TRAGAR s22009: persiste 1 (vivos 3) · prev_post 0.0 · D None · err60 None (255.8 s; 3393 s)
[15:29:33] [46/100] VIDA_S s22010: persiste 0 (vivos 0) · prev_post 0.192761 · D -0.009717 · err60 None (239.8 s; 3561 s)
[15:30:47] [47/100] BARAJADO s22010: persiste 0 (vivos 0) · prev_post 0.770632 · D 0.002483 · err60 None (241.8 s; 3635 s)
[15:30:58] [48/100] INERTE s22010: persiste 0 (vivos 0) · prev_post 0.670597 · D -0.01987 · err60 None (261.0 s; 3645 s)
[15:34:04] [49/100] SIN_TRAGAR s22010: persiste 0 (vivos 0) · prev_post 0.0 · D None · err60 None (271.0 s; 3832 s)
[15:34:55] [50/100] AZAR_S s22010: persiste 0 (vivos 0) · prev_post 0.247511 · D -0.064958 · err60 None (247.2 s; 3882 s)
[15:35:06] [51/100] VIDA_S s22011: persiste 0 (vivos 0) · prev_post 0.402778 · D 0.019565 · err60 None (247.3 s; 3893 s)
[15:38:32] [52/100] INERTE s22011: persiste 0 (vivos 0) · prev_post 0.793646 · D 0.010692 · err60 None (267.0 s; 4099 s)
[15:38:53] [53/100] BARAJADO s22011: persiste 0 (vivos 0) · prev_post 0.736622 · D -0.001809 · err60 None (238.3 s; 4120 s)
