[14:12:31] F1 FRIO frio_serie_s35001-35020 · T 1000000 · brazos {'RES0_FRIO': ('MUT0', 'FAMB_RES0_ECO', 1), 'RES0_10k': ('MUT0', 'FAMB_RES0_ECO', 10000), 'RES0_60k': ('MUT0', 'FAMB_RES0_ECO', 60000), 'BAR0_FRIO': ('MUT0', 'BAR0_ECO', 1), 'FAB_FRIO': ('MUT0', 'FABRICA_ECO', 1)} · pool 6 · motor GEMELO motor_frio_rapido · shas {'corre_frio.py': '3ba8b0f5cf1fbbfa', 'construye_frio.py': '5dec635e6ffe55d4', 'motor_frio_rapido.py': 'ff9d890a5cce9dec', 'carros/BAR0_ECO.py': 'a4b899611bd71197', 'PREREGISTRO_frio.md': '43129620e9e22479', 'juaco_eco/corre_eco_v12.py': '1340d268e1fd93d8', 'juaco_eco/corre_eco.py': '47d9cee4d6462116', 'juaco_eco/motor_eco.py': 'bca3033878b59622', 'juaco_eco/motor_eco_rapido_fam.py': 'd1f16769a53bb51c', 'juaco_eco/carros/FAMB_RES0_ECO.py': '94ea78589bc2ce24', 'juaco_eco/carros/FABRICA_ECO.py': 'f1163009cb5193a2'}
[14:16:39] [30/100] RES0_10k s35010: persiste 1 (vivos 39) · t_ext None · refundados 3059 · r0_nac 0.9954 · max_vivos 220 · aborto None (42.0 s; 248 s)
[14:17:08] [31/100] RES0_10k s35012: persiste 1 (vivos 31) · t_ext None · refundados 3137 · r0_nac 0.9955 · max_vivos 227 · aborto None (43.2 s; 277 s)
[14:17:08] [32/100] RES0_10k s35014: persiste 1 (vivos 37) · t_ext None · refundados 2998 · r0_nac 0.996 · max_vivos 228 · aborto None (42.7 s; 277 s)
[14:17:08] [33/100] RES0_10k s35011: persiste 1 (vivos 30) · t_ext None · refundados 3064 · r0_nac 0.9958 · max_vivos 232 · aborto None (43.7 s; 277 s)
[14:17:08] [34/100] RES0_10k s35013: persiste 1 (vivos 25) · t_ext None · refundados 2965 · r0_nac 0.9964 · max_vivos 223 · aborto None (43.1 s; 277 s)
[14:17:21] [35/100] RES0_10k s35015: persiste 1 (vivos 34) · t_ext None · refundados 3052 · r0_nac 0.9963 · max_vivos 231 · aborto None (43.6 s; 290 s)
[14:17:22] [36/100] RES0_10k s35016: persiste 1 (vivos 29) · t_ext None · refundados 3068 · r0_nac 0.9951 · max_vivos 230 · aborto None (42.9 s; 291 s)
[14:17:51] [37/100] RES0_10k s35017: persiste 1 (vivos 26) · t_ext None · refundados 3024 · r0_nac 0.9953 · max_vivos 219 · aborto None (43.1 s; 320 s)
[14:17:51] [38/100] RES0_10k s35018: persiste 1 (vivos 28) · t_ext None · refundados 3067 · r0_nac 0.9967 · max_vivos 223 · aborto None (43.3 s; 320 s)
[14:17:51] [39/100] RES0_10k s35019: persiste 1 (vivos 35) · t_ext None · refundados 3076 · r0_nac 0.9958 · max_vivos 209 · aborto None (43.3 s; 320 s)
