brazo,esc,seed,pct_ven,pct_com,sin_obj,deaths,comidaA_2a,W_A,W_B,E1ok,E2ok
C2,E2,35,25.438,1.522,0.0,142,64,-2.99,1.0,False,True
C2,E2,36,23.392,1.004,0.0,145,56,-2.98,1.0,False,True
C2,E2,37,18.84,1.346,0.0,140,48,-2.96,1.0,False,True
C2,E2,38,22.826,0.82,0.0,150,55,-2.98,1.0,False,True
C2,E2,39,20.534,2.314,0.0,142,53,-2.97,1.0,False,True
C2,E2,40,17.43,1.918,0.0,134,51,-2.97,1.0,False,True
v8,E1,21,19.232,0.316,0.0,148,158,1.0,-3.0,True,False
v8,E1,22,21.51,0.366,0.0,135,183,1.0,-3.0,True,False
v8,E1,23,22.424,0.32,0.0,141,159,1.0,-3.0,True,False
v8,E1,24,22.526,0.282,0.0,145,141,1.0,-3.0,True,False
v8,E1,25,21.672,0.254,0.0,159,127,1.0,-3.0,True,False
v8,E1,26,23.722,0.27,0.0,149,135,1.0,-3.0,True,False
v8,E1,27,19.596,0.304,0.0,149,152,1.0,-3.0,True,False
v8,E1,28,20.998,0.33,0.0,134,165,1.0,-3.0,True,False
v8,E1,29,21.514,0.376,0.0,138,188,1.0,-3.0,True,False
v8,E1,30,21.498,0.248,0.0,174,123,1.0,-3.0,True,False
v8,E1,31,25.124,0.308,0.0,149,154,1.0,-3.0,True,False
v8,E1,32,20.81,0.248,0.0,148,124,1.0,-3.0,True,False
v8,E1,33,24.064,0.29,0.0,158,145,1.0,-3.0,True,False
v8,E1,34,20.41,0.316,0.0,142,158,1.0,-3.0,True,False
v8,E1,35,23.122,0.344,0.0,133,171,1.0,-3.0,True,False
v8,E1,36,16.294,0.334,0.0,141,167,1.0,-3.0,True,False
v8,E1,37,20.792,0.292,0.0,148,146,1.0,-3.0,True,False
v8,E1,38,21.006,0.328,0.0,138,162,1.0,-3.0,True,False
v8,E1,39,21.852,0.366,0.0,128,183,1.0,-3.0,True,False
v8,E1,40,19.194,0.276,0.0,126,137,1.0,-3.0,True,False
v8,E2,21,19.746,1.896,0.0,147,54,-2.98,1.0,False,True
v8,E2,22,19.594,1.05,0.0,164,51,-2.97,1.0,False,True
v8,E2,23,21.442,1.39,0.0,157,59,-2.99,1.0,False,True
v8,E2,24,21.636,1.032,0.0,132,56,-2.98,1.0,False,True
v8,E2,25,21.578,0.894,0.0,160,57,-2.98,1.0,False,True
v8,E2,26,28.854,1.21,0.0,155,66,-2.99,1.0,False,True
v8,E2,27,20.994,2.42,0.0,182,56,-2.99,1.0,False,True
v8,E2,28,23.538,0.794,0.0,129,61,-2.99,1.0,False,True
v8,E2,29,19.68,1.5,0.0,153,57,-2.98,1.0,False,True
v8,E2,30,17.422,0.58,0.0,154,55,-2.98,1.0,False,True
v8,E2,31,25.894,1.074,0.0,146,58,-2.98,1.0,False,True
v8,E2,32,18.978,1.914,0.0,153,57,-2.98,1.0,False,False
v8,E2,33,21.58,0.814,0.0,149,54,-2.97,1.0,False,True
v8,E2,34,21.004,1.062,0.0,144,59,-2.98,1.0,False,True
v8,E2,35,25.438,1.522,0.0,142,64,-2.99,1.0,False,True
v8,E2,36,23.392,1.004,0.0,145,56,-2.98,1.0,False,True
v8,E2,37,18.84,1.346,0.0,140,48,-2.96,1.0,False,True
v8,E2,38,22.826,0.82,0.0,150,55,-2.98,1.0,False,True
v8,E2,39,20.534,2.314,0.0,142,53,-2.97,1.0,False,True
v8,E2,40,17.43,1.918,0.0,134,51,-2.97,1.0,False,True
v9,E1,21,9.804,0.3,2.244,134,150,1.0,-2.99,True,False
v9,E1,22,9.212,0.384,1.436,121,192,1.0,-2.97,True,False
v9,E1,23,9.24,0.35,1.802,138,175,1.0,-2.98,True,False
v9,E1,24,9.992,0.266,3.192,158,132,1.0,-2.99,True,False
v9,E1,25,10.704,0.282,3.974,132,141,1.0,-2.98,True,False
v9,E1,26,10.086,0.294,2.698,133,147,1.0,-2.99,True,False
v9,E1,27,10.952,0.312,3.708,126,156,1.0,-2.98,True,False
v9,E1,28,9.568,0.266,2.022,146,133,1.0,-2.98,True,False
v9,E1,29,9.582,0.35,2.172,128,175,1.0,-2.98,True,False
v9,E1,30,9.508,0.27,1.828,142,135,1.0,-2.98,True,False
v9,E1,31,10.352,0.3,3.064,130,150,1.0,-2.98,True,False
v9,E1,32,9.338,0.216,1.588,147,108,1.0,-2.98,True,False
v9,E1,33,9.494,0.304,1.564,137,151,1.0,-2.98,True,False
v9,E1,34,9.474,0.374,1.742,132,187,1.0,-2.98,True,False
v9,E1,35,9.394,0.234,2.68,144,117,1.0,-2.98,True,False
v9,E1,36,10.044,0.338,2.486,135,169,1.0,-2.98,True,False
v9,E1,37,9.624,0.408,1.814,128,204,1.0,-2.99,True,False
v9,E1,38,10.104,0.308,1.666,135,154,1.0,-2.99,True,False
v9,E1,39,9.712,0.342,1.648,119,171,1.0,-2.98,True,False
v9,E1,40,9.334,0.318,1.53,125,158,1.0,-2.97,True,False
v9,E2,21,9.334,0.792,1.548,138,40,-2.92,1.0,False,True
v9,E2,22,8.906,0.768,0.854,139,43,-2.93,1.0,False,True
v9,E2,23,8.598,1.064,2.276,143,47,-2.94,1.0,False,True
v9,E2,24,8.962,0.648,1.792,151,45,-2.93,1.0,False,True
v9,E2,25,9.324,0.698,2.578,129,43,-2.93,1.0,False,True
v9,E2,26,8.896,0.95,2.352,141,41,-2.92,1.0,False,True
v9,E2,27,9.016,0.776,1.712,122,40,-2.9,1.0,False,True
v9,E2,28,9.366,0.87,3.086,135,40,-2.91,1.0,False,True
v9,E2,29,9.216,1.024,2.07,132,41,-2.92,1.0,False,True
v9,E2,30,8.244,1.364,2.508,144,39,-2.9,1.0,False,True
v9,E2,31,9.226,0.814,1.562,130,41,-2.92,1.0,False,True
v9,E2,32,9.716,0.704,1.446,133,41,-2.92,1.0,False,True
v9,E2,33,9.016,0.856,2.358,111,41,-2.91,1.0,False,True
v9,E2,34,9.616,0.8,1.506,132,42,-2.92,1.0,False,True
v9,E2,35,9.196,0.694,1.284,128,40,-2.92,1.0,False,True
v9,E2,36,9.608,1.04,2.412,126,43,-2.93,1.0,False,True
v9,E2,37,9.09,1.0,2.37,137,40,-2.92,1.0,False,True
v9,E2,38,9.818,0.848,1.788,116,39,-2.9,1.0,False,True
v9,E2,39,9.114,0.63,2.976,128,41,-2.92,1.0,False,True
v9,E2,40,9.666,0.72,1.798,134,42,-2.92,1.0,False,True
