# fecha: 2026-09-15T11:47:23
# python: 3.14.2
# numpy: 2.4.3
# sha_v7i: 935c6e42c29d8e88
# sha_este: ccab60b8938fbe8c
# base_previa: parte1_umbral_20260915_113736.json
# NS: 20
# T: 100000
# theta: 0.6
# condiciones: {'REJ_AB1': "{'solap_AB': 1, 'forzar_KW': False}", 'REJ_AB2': "{'solap_AB': 2, 'forzar_KW': False}", 'REJ_AB3': "{'solap_AB': 3, 'forzar_KW': False}", 'D_comida_solB0_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 0, 'nuevo_en': 0}", 'D_comida_solB1_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 1, 'nuevo_en': 0}", 'D_comida_solB2_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 2, 'nuevo_en': 0}"}
# concordancia: {'tp': 139, 'fp': 0, 'fn': 0, 'tn': 181, 'n': 320}
cond,seed,plast,solap_medido,splits,celdas,primer_split,estimulos_split,W_A,W_B,W_C,W_D,err_max,deaths
D_comida_solB1_t0,16,True,1,0,30,,,1.0,-2.99,1.5,1.0,0.589,99
D_comida_solB1_t0,17,True,1,0,30,,,1.0,-2.99,1.0,1.0,0.5955,86
D_comida_solB1_t0,18,True,1,0,30,,,1.0,-2.99,-0.5,1.0,0.5701,106
D_comida_solB1_t0,19,True,1,0,30,,,1.0,-2.99,-1.25,1.0,0.5936,92
D_comida_solB1_t0,20,True,1,0,30,,,1.0,-2.99,0.75,1.0,0.5605,103
D_comida_solB1_t0,1,False,1,0,30,,,1.0,-2.99,1.0,1.0,0.5599,107
D_comida_solB1_t0,2,False,1,0,30,,,1.0,-2.99,-1.41,1.0,0.5884,101
D_comida_solB1_t0,3,False,1,0,30,,,1.0,-2.99,0.0,1.0,0.5661,82
D_comida_solB1_t0,4,False,1,0,30,,,1.0,-2.99,0.0,1.0,0.6085,91
D_comida_solB1_t0,5,False,1,0,30,,,1.0,-2.99,-0.5,1.0,0.5344,119
D_comida_solB1_t0,6,False,1,0,30,,,1.0,-2.99,0.0,1.0,0.572,96
D_comida_solB1_t0,7,False,1,0,30,,,1.0,-2.98,1.0,1.0,0.5945,83
D_comida_solB1_t0,8,False,1,0,30,,,1.0,-2.99,-1.0,1.0,0.5937,103
D_comida_solB1_t0,9,False,1,0,30,,,1.0,-2.99,0.58,1.0,0.5996,86
D_comida_solB1_t0,10,False,1,0,30,,,1.0,-2.98,0.25,1.0,0.5931,95
D_comida_solB1_t0,11,False,1,0,30,,,1.0,-2.98,1.0,1.0,0.5475,95
D_comida_solB1_t0,12,False,1,0,30,,,1.0,-2.99,0.33,1.0,0.582,85
D_comida_solB1_t0,13,False,1,0,30,,,1.0,-2.99,-0.16,1.0,0.6084,82
D_comida_solB1_t0,14,False,1,0,30,,,1.0,-2.99,-1.74,1.0,0.5971,100
D_comida_solB1_t0,15,False,1,0,30,,,1.0,-2.98,1.41,1.0,0.5533,100
D_comida_solB1_t0,16,False,1,0,30,,,1.0,-2.99,1.5,1.0,0.589,99
D_comida_solB1_t0,17,False,1,0,30,,,1.0,-2.99,1.0,1.0,0.5955,86
D_comida_solB1_t0,18,False,1,0,30,,,1.0,-2.99,-0.5,1.0,0.5701,106
D_comida_solB1_t0,19,False,1,0,30,,,1.0,-2.99,-1.25,1.0,0.5936,92
D_comida_solB1_t0,20,False,1,0,30,,,1.0,-2.99,0.75,1.0,0.5605,103
D_comida_solB2_t0,1,True,2,60,90,947,ABD,0.0,0.0,0.0,0.0,3.0,110
D_comida_solB2_t0,2,True,2,10,40,418,ABD,1.0,-2.98,0.22,1.0,0.6198,93
D_comida_solB2_t0,3,True,2,8,38,951,BD,1.0,-2.98,1.19,1.0,0.61,97
D_comida_solB2_t0,4,True,2,60,90,1868,ABD,0.0,0.0,0.0,0.0,3.0,99
D_comida_solB2_t0,5,True,2,60,90,714,ABD,0.0,0.0,0.0,0.0,2.2489,87
D_comida_solB2_t0,6,True,2,60,90,510,BD,1.0,0.0,0.0,0.0,3.0,89
D_comida_solB2_t0,7,True,2,5,35,1001,BD,1.0,-2.96,1.0,1.0,0.6147,75
D_comida_solB2_t0,8,True,2,7,37,1075,BD,1.0,-2.99,1.0,1.0,0.6108,116
D_comida_solB2_t0,9,True,2,8,38,838,BD,1.0,-2.99,1.0,1.0,0.6235,106
D_comida_solB2_t0,10,True,2,9,39,716,ABD,1.0,-2.98,1.0,1.0,0.6267,105
D_comida_solB2_t0,11,True,2,11,41,698,ABD,1.0,-2.67,1.5,1.0,0.6229,104
D_comida_solB2_t0,12,True,2,60,90,970,BD,0.0,0.0,0.0,0.0,2.2908,91
D_comida_solB2_t0,13,True,2,10,40,613,BD,1.0,-2.98,1.0,1.0,0.6375,95
D_comida_solB2_t0,14,True,2,60,90,986,ABD,0.0,0.0,0.0,0.0,2.3134,82
D_comida_solB2_t0,15,True,2,10,40,786,BD,1.0,-2.73,0.0,1.0,0.6275,96
D_comida_solB2_t0,16,True,2,10,40,1195,BD,1.0,-2.99,1.0,1.0,0.616,92
D_comida_solB2_t0,17,True,2,60,90,814,ABD,0.0,0.0,0.0,0.0,3.0,83
D_comida_solB2_t0,18,True,2,11,41,1236,ABD,1.0,-2.99,1.0,1.0,0.6178,103
D_comida_solB2_t0,19,True,2,8,38,627,ABD,1.0,-2.97,0.45,1.0,0.6276,104
D_comida_solB2_t0,20,True,2,13,43,590,ABD,1.0,-2.36,0.81,0.81,0.632,96
D_comida_solB2_t0,1,False,2,0,30,,,1.0,-2.94,0.33,0.99,0.8313,93
D_comida_solB2_t0,2,False,2,0,30,,,1.0,-2.96,-0.06,0.99,0.8489,96
D_comida_solB2_t0,3,False,2,0,30,,,1.0,-2.94,1.77,1.0,0.8614,104
D_comida_solB2_t0,4,False,2,0,30,,,1.0,-2.94,2.11,0.99,0.8454,110
D_comida_solB2_t0,5,False,2,0,30,,,1.0,-2.93,-0.39,0.99,0.8508,105
D_comida_solB2_t0,6,False,2,0,30,,,1.0,-2.91,1.71,1.0,0.8252,85
D_comida_solB2_t0,7,False,2,0,30,,,1.0,-2.93,1.38,1.0,0.8074,94
D_comida_solB2_t0,8,False,2,0,30,,,1.0,-2.95,0.28,0.99,0.8493,94
D_comida_solB2_t0,9,False,2,0,30,,,1.0,-2.94,-0.39,1.0,0.8615,85
D_comida_solB2_t0,10,False,2,0,30,,,1.0,-2.96,-0.06,1.0,0.7947,117
D_comida_solB2_t0,11,False,2,0,30,,,1.0,-2.97,-2.17,0.99,0.8378,104
D_comida_solB2_t0,12,False,2,0,30,,,1.0,-2.93,1.76,0.99,0.8448,100
D_comida_solB2_t0,13,False,2,0,30,,,1.0,-2.96,2.11,0.99,0.8629,94
D_comida_solB2_t0,14,False,2,0,30,,,1.0,-2.96,0.0,0.99,0.8602,97
D_comida_solB2_t0,15,False,2,0,30,,,1.0,-2.93,-2.54,0.99,0.7925,83
D_comida_solB2_t0,16,False,2,0,30,,,1.0,-2.95,1.72,0.99,0.8586,93
D_comida_solB2_t0,17,False,2,0,30,,,1.0,-2.96,0.0,0.99,0.8345,90
D_comida_solB2_t0,18,False,2,0,30,,,1.0,-2.96,0.0,0.99,0.8419,107
D_comida_solB2_t0,19,False,2,0,30,,,1.0,-2.94,1.71,0.99,0.8623,94
D_comida_solB2_t0,20,False,2,0,30,,,1.0,-2.95,-0.39,0.99,0.8129,95
REJ_AB1,1,True,1,1,31,2445,B,1.0,-3.0,-0.27,-1.64,0.6007,168
REJ_AB1,2,True,1,0,30,,,1.0,-3.0,0.25,0.0,0.5769,142
REJ_AB1,3,True,1,0,30,,,1.0,-2.99,-1.25,-1.25,0.5824,157
REJ_AB1,4,True,1,1,31,3022,B,1.0,-2.99,1.09,-0.27,0.6003,147
REJ_AB1,5,True,1,0,30,,,1.0,-2.99,-1.75,-1.25,0.598,149
REJ_AB1,6,True,1,1,31,1859,B,1.0,-2.99,0.75,-1.75,0.6023,144
REJ_AB1,7,True,1,1,31,3276,B,1.0,-3.0,0.0,-3.0,0.6007,156
REJ_AB1,8,True,1,0,30,,,1.0,-3.0,0.0,-1.25,0.558,159
REJ_AB1,9,True,1,1,31,2698,B,1.0,-3.0,0.64,-0.68,0.6023,144
REJ_AB1,10,True,1,1,31,1622,B,1.0,-3.0,-1.64,-1.64,0.6001,165
REJ_AB1,11,True,1,0,30,,,1.0,-3.0,0.0,-1.25,0.5926,141
REJ_AB1,12,True,1,0,30,,,1.0,-2.99,0.0,0.0,0.5985,160
REJ_AB1,13,True,1,0,30,,,1.0,-2.99,0.0,-1.25,0.5385,140
REJ_AB1,14,True,1,0,30,,,1.0,-3.0,0.75,-1.25,0.598,150
REJ_AB1,15,True,1,1,31,2612,B,1.0,-3.0,0.1,-0.27,0.6019,160
REJ_AB1,16,True,1,0,30,,,1.0,-3.0,1.5,0.75,0.5704,140
REJ_AB1,17,True,1,0,30,,,1.0,-3.0,-1.75,-1.25,0.5532,142
