seed,patron,n_activos,nA,nB,W_obs,W_pred,residuo,W_pred_nominal,residuo_nominal,hamming_A,hamming_B,compartidos_A,compartidos_B,W_A_real,W_B_real,es_patron_nulo,code_X
1,101010,3,0,3,-2.99508033045,-2.99508033045,0,-3,0.00491966954996,4,0,1,3,1,-2.99508033045,0,3 12 25
1,101011,4,0,2,-1.9967202203,-1.9967202203,0,-2,0.00327977969997,5,1,1,3,1,-2.99508033045,0,1 3 25
1,101100,3,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-1.96509475359e-14,2,2,2,2,1,-2.99508033045,0,9 11 28
1,101101,4,1,1,-0.665026776817,-0.665026776817,1.11022302463e-16,-0.666666666667,0.00163988984997,3,3,2,2,1,-2.99508033045,0,9 25 28
1,101110,4,0,2,-1.9967202203,-1.9967202203,0,-2,0.00327977969997,3,1,2,3,1,-2.99508033045,0,3 11 25
1,101111,5,0,2,-1.9967202203,-1.9967202203,0,-2,0.00327977969997,4,2,2,3,1,-2.99508033045,0,3 9 25
1,110000,2,2,1,-0.331693443483,-0.331693443483,1.11022302463e-16,-0.333333333333,0.00163988984995,1,3,2,1,1,-2.99508033045,0,10 18 25
1,110001,3,1,1,-0.665026776817,-0.665026776817,1.11022302463e-16,-0.666666666667,0.00163988984997,2,4,2,1,1,-2.99508033045,0,4 10 25
1,110010,3,1,1,-0.665026776817,-0.665026776817,1.11022302463e-16,-0.666666666667,0.00163988984997,2,2,2,2,1,-2.99508033045,0,2 18 25
1,110011,4,1,1,-0.665026776817,-0.665026776817,1.11022302463e-16,-0.666666666667,0.00163988984997,3,3,2,2,1,-2.99508033045,0,4 10 25
1,110100,3,3,0,1,1,0,1,-5.90638649101e-14,0,4,3,1,1,-2.99508033045,0,10 18 28
1,110101,4,2,1,-0.331693443483,-0.331693443483,1.11022302463e-16,-0.333333333333,0.00163988984995,1,5,3,1,1,-2.99508033045,0,10 18 25
1,110110,4,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-1.96509475359e-14,1,3,3,2,1,-2.99508033045,0,2 18 21
1,110111,5,2,1,-0.331693443483,-0.331693443483,1.11022302463e-16,-0.333333333333,0.00163988984995,2,4,3,2,1,-2.99508033045,0,10 18 25
1,111000,3,1,2,-1.66338688697,-1.66338688697,2.22044604925e-16,-1.66666666667,0.00327977969995,2,2,2,2,1,-2.99508033045,0,12 25 28
1,111001,4,1,2,-1.66338688697,-1.66338688697,2.22044604925e-16,-1.66666666667,0.00327977969995,3,3,2,2,1,-2.99508033045,0,10 12 25
1,111010,4,1,2,-1.66338688697,-1.66338688697,2.22044604925e-16,-1.66666666667,0.00327977969995,3,1,2,3,1,-2.99508033045,0,12 18 25
1,111011,5,0,1,-0.99836011015,-0.99836011015,0,-1,0.00163988984999,4,2,2,3,1,-2.99508033045,0,1 4 25
1,111100,4,2,1,-0.331693443483,-0.331693443483,1.66533453694e-16,-0.333333333333,0.00163988984995,1,3,3,2,1,-2.99508033045,0,18 25 28
1,111101,5,1,1,-0.665026776817,-0.665026776817,1.11022302463e-16,-0.666666666667,0.00163988984997,2,4,3,2,1,-2.99508033045,0,9 25 28
1,111110,5,1,1,-0.665026776817,-0.665026776817,1.11022302463e-16,-0.666666666667,0.00163988984997,2,2,3,3,1,-2.99508033045,0,2 18 25
1,111111,6,2,1,-0.331693443483,-0.331693443483,1.11022302463e-16,-0.333333333333,0.00163988984995,3,3,3,3,1,-2.99508033045,0,10 18 25
2,000000,0,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,3,3,0,0,1,-2.99909909086,1,27 28 29
2,000001,1,0,0,0,0,0,0,0,4,4,0,0,1,-2.99909909086,0,8 21 26
2,000010,1,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,4,2,0,1,1,-2.99909909086,0,9 16 18
2,000011,2,0,0,0,0,0,0,0,5,3,0,1,1,-2.99909909086,0,0 5 10
2,000100,1,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-3.14193115969e-14,2,4,1,0,1,-2.99909909086,0,2 14 24
2,000101,2,0,0,0,0,0,0,0,3,5,1,0,1,-2.99909909086,0,21 24 26
2,000110,2,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,3,3,1,1,1,-2.99909909086,0,23 24 28
2,000111,3,0,0,0,0,0,0,0,4,4,1,1,1,-2.99909909086,0,0 5 24
2,001000,1,0,0,0,0,0,0,0,4,2,0,1,1,-2.99909909086,0,3 14 19
2,001001,2,0,0,0,0,0,0,0,5,3,0,1,1,-2.99909909086,0,3 5 7
2,001010,2,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,5,1,0,2,1,-2.99909909086,0,3 16 18
2,001011,3,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,6,2,0,2,1,-2.99909909086,0,5 16 18
2,001100,2,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-3.14193115969e-14,3,3,1,1,1,-2.99909909086,0,2 14 24
2,001101,3,0,0,0,0,0,0,0,4,4,1,1,1,-2.99909909086,0,21 24 26
2,001110,3,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,4,2,1,2,1,-2.99909909086,0,23 24 28
2,001111,4,0,0,0,0,0,0,0,5,3,1,2,1,-2.99909909086,0,3 5 24
2,010000,1,3,0,1,1,0,1,-9.43689570931e-14,2,4,1,0,1,-2.99909909086,0,1 2 6
2,010001,2,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,3,5,1,0,1,-2.99909909086,0,15 16 27
2,010010,2,1,1,-0.666366363619,-0.666366363619,-1.11022302463e-16,-0.666666666667,0.000300303047563,3,3,1,1,1,-2.99909909086,0,2 9 16
2,010011,3,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,4,4,1,1,1,-2.99909909086,0,10 16 18
2,010100,2,3,0,1,1,0,1,-9.43689570931e-14,1,5,2,0,1,-2.99909909086,0,1 2 6
2,010101,3,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-3.14193115969e-14,2,6,2,0,1,-2.99909909086,0,2 21 24
2,010110,3,2,0,0.666666666667,0.666666666667,1.11022302463e-16,0.666666666667,-6.28386231938e-14,2,4,2,1,1,-2.99909909086,0,2 6 23
2,010111,4,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-3.14193115969e-14,3,5,2,1,1,-2.99909909086,0,2 10 24
2,011000,2,2,1,-0.333033030286,-0.333033030286,0,-0.333333333333,0.000300303047532,3,3,1,1,1,-2.99909909086,0,2 6 16
2,011001,3,1,1,-0.666366363619,-0.666366363619,-1.11022302463e-16,-0.666666666667,0.000300303047563,4,4,1,1,1,-2.99909909086,0,2 3 16
2,011010,3,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,4,2,1,2,1,-2.99909909086,0,3 16 18
