# fecha: 2026-09-15T12:10:18
# python: 3.14.2
# numpy: 2.4.3
# sha_cap: dc058e0a43216bf3
# sha_este: ef471cd7c97cc822
# sha_v6: 5f38f83cf49248a3
# sha_v7: 3db0475ef0ea95ce
# NS: 20
# N_EST: 20
# TOL: 0.3
# condiciones: {"v6_20k": "(False, 20000)", "v7_20k": "(True, 20000)", "v6_60k": "(False, 60000)", "v7_60k": "(True, 60000)"}
# estimulos: {"A": {"patron": "110100", "valencia": "comida", "R": 1.0}, "B": {"patron": "101010", "valencia": "veneno", "R": -3.0}, "C": {"patron": "011001", "valencia": "comida", "R": 1.0}, "D": {"patron": "001011", "valencia": "veneno", "R": -3.0}, "E05": {"patron": "111000", "valencia": "comida", "R": 1.0}, "E06": {"patron": "110010", "valencia": "veneno", "R": -3.0}, "E07": {"patron": "110001", "valencia": "comida", "R": 1.0}, "E08": {"patron": "101100", "valencia": "veneno", "R": -3.0}, "E09": {"patron": "101001", "valencia": "comida", "R": 1.0}, "E10": {"patron": "100110", "valencia": "veneno", "R": -3.0}, "E11": {"patron": "100101", "valencia": "comida", "R": 1.0}, "E12": {"patron": "100011", "valencia": "veneno", "R": -3.0}, "E13": {"patron": "011100", "valencia": "comida", "R": 1.0}, "E14": {"patron": "011010", "valencia": "veneno", "R": -3.0}, "E15": {"patron": "010110", "valencia": "comida", "R": 1.0}, "E16": {"patron": "010101", "valencia": "veneno", "R": -3.0}, "E17": {"patron": "010011", "valencia": "comida", "R": 1.0}, "E18": {"patron": "001110", "valencia": "veneno", "R": -3.0}, "E19": {"patron": "001101", "valencia": "comida", "R": 1.0}, "E20": {"patron": "000111", "valencia": "veneno", "R": -3.0}}
cond,seed,paso_t,n,t,celdas,splits,solap_medio,solap_max,e_n_mediana,estimulo,W,R,dev,vis_ac,mord_ac
v6_20k,1,20000,2,20000,30,0,0.0,0,0.056,A,1.0,1.0,0.0,86,85
v6_20k,1,20000,2,20000,30,0,0.0,0,0.056,B,-2.889,-3.0,0.111,3471,35
v6_20k,1,20000,3,40000,30,0,0.333,1,0.014,A,1.0,1.0,0.0,144,143
v6_20k,1,20000,3,40000,30,0,0.333,1,0.014,B,-2.799,-3.0,0.201,7708,53
v6_20k,1,20000,3,40000,30,0,0.333,1,0.014,C,0.986,1.0,0.014,86,81
v6_20k,1,20000,4,60000,30,0,0.833,3,0.847,A,1.0,1.0,0.0,183,182
v6_20k,1,20000,4,60000,30,0,0.833,3,0.847,B,-3.069,-3.0,0.069,13340,61
v6_20k,1,20000,4,60000,30,0,0.833,3,0.847,C,-0.626,1.0,1.626,173,111
v6_20k,1,20000,4,60000,30,0,0.833,3,0.847,D,-0.626,-3.0,2.374,65,29
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,A,1.087,1.0,0.087,256,255
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,B,-2.497,-3.0,0.503,18159,97
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,C,0.0,1.0,1.0,280,198
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,D,0.0,-3.0,3.0,143,87
v6_20k,1,20000,5,80000,30,0,1.0,3,0.503,E05,0.816,1.0,0.184,221,80
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,A,0.767,1.0,0.233,291,289
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,B,-2.813,-3.0,0.187,21542,116
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,C,0.0,1.0,1.0,322,236
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,D,0.0,-3.0,3.0,189,128
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,E05,1.022,1.0,0.022,263,122
v6_20k,1,20000,6,100000,30,0,1.0,3,0.523,E06,-2.187,-3.0,0.813,896,24
v6_20k,1,20000,7,120000,30,0,1.0,3,0.144,A,1.003,1.0,0.003,330,328
v6_20k,1,20000,7,120000,30,0,1.0,3,0.144,B,-2.856,-3.0,0.144,23460,119
v6_20k,1,20000,7,120000,30,0,1.0,3,0.144,C,0.0,1.0,1.0,361,273
v6_20k,1,20000,7,120000,30,0,1.0,3,0.144,D,0.0,-3.0,3.0,232,168
v6_20k,1,20000,7,120000,30,0,1.0,3,0.144,E05,1.0,1.0,0.0,300,159
v6_20k,1,20000,7,120000,30,0,1.0,3,0.144,E06,-2.581,-3.0,0.419,2081,35
v6_20k,1,20000,7,120000,30,0,1.0,3,0.144,E07,0.955,1.0,0.045,48,48
v6_20k,1,20000,8,140000,30,0,0.821,3,0.442,A,0.759,1.0,0.241,361,358
v6_20k,1,20000,8,140000,30,0,0.821,3,0.442,B,-2.574,-3.0,0.426,25179,131
v6_20k,1,20000,8,140000,30,0,0.821,3,0.442,C,0.0,1.0,1.0,393,304
v6_20k,1,20000,8,140000,30,0,0.821,3,0.442,D,0.0,-3.0,3.0,264,198
v6_20k,1,20000,8,140000,30,0,0.821,3,0.442,E05,0.656,1.0,0.344,337,196
v6_20k,1,20000,8,140000,30,0,0.821,3,0.442,E06,-2.543,-3.0,0.457,3370,46
v6_20k,1,20000,8,140000,30,0,0.821,3,0.442,E07,1.161,1.0,0.161,74,74
v6_20k,1,20000,8,140000,30,0,0.821,3,0.442,E08,-2.088,-3.0,0.912,188,23
v6_20k,1,20000,9,160000,30,0,0.917,3,0.499,A,0.501,1.0,0.499,374,371
v6_20k,1,20000,9,160000,30,0,0.917,3,0.499,B,-2.557,-3.0,0.443,27036,142
v6_20k,1,20000,9,160000,30,0,0.917,3,0.499,C,0.0,1.0,1.0,422,330
v6_20k,1,20000,9,160000,30,0,0.917,3,0.499,D,0.0,-3.0,3.0,285,218
v6_20k,1,20000,9,160000,30,0,0.917,3,0.499,E05,0.507,1.0,0.493,357,216
v6_20k,1,20000,9,160000,30,0,0.917,3,0.499,E06,-2.674,-3.0,0.326,5854,56
v6_20k,1,20000,9,160000,30,0,0.917,3,0.499,E07,1.133,1.0,0.133,89,89
v6_20k,1,20000,9,160000,30,0,0.917,3,0.499,E08,-2.079,-3.0,0.921,1643,36
v6_20k,1,20000,9,160000,30,0,0.917,3,0.499,E09,-0.239,1.0,1.239,41,21
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,A,0.461,1.0,0.539,386,383
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,B,-2.458,-3.0,0.542,28003,148
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,C,0.0,1.0,1.0,440,346
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,D,0.0,-3.0,3.0,312,243
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,E05,0.403,1.0,0.597,373,232
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,E06,-2.558,-3.0,0.442,6335,59
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,E07,1.141,1.0,0.141,107,107
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,E08,-2.091,-3.0,0.909,2350,48
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,E09,0.04,1.0,0.96,70,45
v6_20k,1,20000,10,180000,30,0,0.822,3,0.753,E10,-5.055,-3.0,2.055,1418,0
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,A,0.544,1.0,0.456,403,400
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,B,-2.485,-3.0,0.515,28831,155
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,C,0.0,1.0,1.0,466,369
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,D,0.0,-3.0,3.0,333,263
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,E05,0.336,1.0,0.664,384,243
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,E06,-2.587,-3.0,0.413,8219,68
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,E07,1.192,1.0,0.192,123,123
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,E08,-2.302,-3.0,0.698,2961,54
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,E09,-0.026,1.0,1.026,79,53
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,E10,-5.199,-3.0,2.199,2419,0
v6_20k,1,20000,11,200000,30,0,0.818,3,0.664,E11,1.084,1.0,0.084,12,12
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,A,0.102,1.0,0.898,413,410
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,B,-2.593,-3.0,0.407,29573,165
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,C,0.0,1.0,1.0,478,379
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,D,0.0,-3.0,3.0,356,283
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,E05,0.175,1.0,0.825,402,259
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,E06,-2.577,-3.0,0.423,9118,77
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,E07,0.167,1.0,0.833,142,142
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,E08,-2.326,-3.0,0.674,3470,63
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,E09,0.16,1.0,0.84,101,73
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,E10,-5.345,-3.0,2.345,3759,0
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,E11,0.909,1.0,0.091,30,30
v6_20k,1,20000,12,220000,30,0,0.742,3,0.837,E12,-0.834,-3.0,2.166,12,11
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,A,-0.036,1.0,1.036,428,421
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,B,-2.736,-3.0,0.264,31111,172
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,C,0.0,1.0,1.0,493,393
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,D,0.0,-3.0,3.0,375,298
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,E05,0.103,1.0,0.897,417,271
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,E06,-2.4,-3.0,0.6,9794,80
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,E07,-0.381,1.0,1.381,166,162
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,E08,-2.315,-3.0,0.685,4310,70
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,E09,0.329,1.0,0.671,117,88
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,E10,-5.239,-3.0,2.239,5153,0
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,E11,0.718,1.0,0.282,45,45
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,E12,-2.164,-3.0,0.836,602,28
v6_20k,1,20000,13,240000,30,0,0.782,3,0.836,E13,0.367,1.0,0.633,16,15
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,A,0.054,1.0,0.946,442,434
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,B,-2.849,-3.0,0.151,31309,174
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,C,0.0,1.0,1.0,506,406
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,D,0.0,-3.0,3.0,388,310
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E05,0.0,1.0,1.0,431,285
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E06,-2.272,-3.0,0.728,10662,87
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E07,-0.263,1.0,1.263,185,174
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E08,-2.556,-3.0,0.444,4906,77
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E09,0.209,1.0,0.791,132,103
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E10,-5.121,-3.0,2.121,6927,0
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E11,0.428,1.0,0.572,57,57
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E12,-2.216,-3.0,0.784,758,34
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E13,0.599,1.0,0.401,31,30
v6_20k,1,20000,14,260000,30,0,0.802,3,0.869,E14,0.0,-3.0,3.0,19,18
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,A,0.414,1.0,0.586,473,459
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,B,-2.87,-3.0,0.13,32438,179
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,C,0.0,1.0,1.0,523,422
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,D,0.0,-3.0,3.0,409,327
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E05,0.0,1.0,1.0,454,304
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E06,-1.366,-3.0,1.634,10815,90
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E07,0.204,1.0,0.796,212,196
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E08,-2.582,-3.0,0.418,5446,78
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E09,0.195,1.0,0.805,156,126
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E10,-4.236,-3.0,1.236,8152,0
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E11,0.316,1.0,0.684,74,73
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E12,-1.847,-3.0,1.153,1213,37
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E13,1.199,1.0,0.199,48,47
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E14,0.0,-3.0,3.0,38,34
v6_20k,1,20000,15,280000,30,0,0.724,3,0.894,E15,0.106,1.0,0.894,53,12
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,A,0.0,1.0,1.0,487,471
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,B,-2.892,-3.0,0.108,34312,185
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,C,0.0,1.0,1.0,537,436
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,D,0.0,-3.0,3.0,430,345
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E05,0.0,1.0,1.0,477,324
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E06,-1.798,-3.0,1.202,10950,98
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E07,0.303,1.0,0.697,229,212
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E08,-2.712,-3.0,0.288,6465,84
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E09,0.13,1.0,0.87,168,135
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E10,-4.69,-3.0,1.69,8625,0
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E11,0.13,1.0,0.87,90,89
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E12,-1.914,-3.0,1.086,1358,42
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E13,1.256,1.0,0.256,67,66
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E14,0.0,-3.0,3.0,63,54
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E15,0.24,1.0,0.76,63,22
v6_20k,1,20000,16,300000,30,0,0.683,3,1.0,E16,-0.983,-3.0,2.017,27,13
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,A,0.0,1.0,1.0,501,482
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,B,-2.895,-3.0,0.105,35362,186
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,C,0.0,1.0,1.0,564,456
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,D,0.0,-3.0,3.0,446,361
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E05,0.0,1.0,1.0,489,336
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E06,-1.877,-3.0,1.123,11233,108
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E07,0.298,1.0,0.702,243,226
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E08,-2.745,-3.0,0.255,7154,86
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E09,0.114,1.0,0.886,184,147
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E10,-4.773,-3.0,1.773,9268,0
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E11,0.114,1.0,0.886,100,98
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E12,-1.584,-3.0,1.416,1418,46
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E13,1.484,1.0,0.484,71,70
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E14,0.0,-3.0,3.0,80,68
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E15,0.667,1.0,0.333,81,40
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E16,-1.643,-3.0,1.357,235,26
v6_20k,1,20000,17,320000,30,0,0.647,3,1.0,E17,-1.584,1.0,2.584,85,6
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,A,0.0,1.0,1.0,517,495
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,B,-2.902,-3.0,0.098,35916,188
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,C,0.0,1.0,1.0,578,467
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,D,0.0,-3.0,3.0,458,372
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E05,0.0,1.0,1.0,499,345
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E06,-1.829,-3.0,1.171,11479,115
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E07,0.029,1.0,0.971,256,237
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E08,-2.761,-3.0,0.239,7407,87
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E09,0.106,1.0,0.894,190,152
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E10,-4.731,-3.0,1.731,9877,0
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E11,0.106,1.0,0.894,111,109
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E12,-1.582,-3.0,1.418,1597,52
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E13,1.449,1.0,0.449,81,80
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E14,0.0,-3.0,3.0,88,76
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E15,0.79,1.0,0.21,94,53
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E16,-1.903,-3.0,1.097,511,33
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E17,-1.582,1.0,2.582,158,13
v6_20k,1,20000,18,340000,30,0,0.614,3,1.0,E18,-5.768,-3.0,2.768,502,0
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,A,0.0,1.0,1.0,527,503
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,B,-2.904,-3.0,0.096,36405,189
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,C,0.0,1.0,1.0,583,472
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,D,0.0,-3.0,3.0,463,377
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E05,0.0,1.0,1.0,504,350
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E06,-1.798,-3.0,1.202,11963,117
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E07,0.0,1.0,1.0,257,238
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E08,-2.813,-3.0,0.187,7992,91
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E09,0.08,1.0,0.92,191,153
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E10,-4.702,-3.0,1.702,12160,0
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E11,0.08,1.0,0.92,116,114
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E12,-1.434,-3.0,1.566,1686,59
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E13,1.349,1.0,0.349,92,91
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E14,0.0,-3.0,3.0,91,79
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E15,0.754,1.0,0.246,98,57
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E16,-2.029,-3.0,0.971,635,37
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E17,-1.434,1.0,2.434,221,19
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E18,-5.797,-3.0,2.797,1981,0
v6_20k,1,20000,19,360000,30,0,0.591,3,1.0,E19,0.298,1.0,0.702,9,9
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,A,0.0,1.0,1.0,534,510
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,B,-2.907,-3.0,0.093,37760,190
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,C,0.0,1.0,1.0,593,481
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,D,0.0,-3.0,3.0,477,389
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E05,0.0,1.0,1.0,513,359
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E06,-1.649,-3.0,1.351,12224,129
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E07,0.0,1.0,1.0,269,248
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E08,-2.824,-3.0,0.176,8337,92
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E09,0.074,1.0,0.926,201,162
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E10,-4.557,-3.0,1.557,13920,0
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E11,0.074,1.0,0.926,122,120
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E12,-0.734,-3.0,2.266,1788,68
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E13,1.381,1.0,0.381,103,102
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E14,0.0,-3.0,3.0,114,101
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E15,0.327,1.0,0.673,110,69
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E16,-2.166,-3.0,0.834,724,42
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E17,-0.734,1.0,1.734,268,31
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E18,-5.806,-3.0,2.806,2176,0
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E19,0.538,1.0,0.462,23,23
v6_20k,1,20000,20,380000,30,0,0.563,3,1.0,E20,-0.161,-3.0,2.839,7,7
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,A,0.0,1.0,1.0,549,523
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,B,-2.913,-3.0,0.087,38486,192
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,C,0.0,1.0,1.0,605,492
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,D,0.0,-3.0,3.0,492,402
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E05,0.0,1.0,1.0,533,374
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E06,-1.374,-3.0,1.626,12361,136
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E07,0.0,1.0,1.0,287,258
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E08,-2.835,-3.0,0.165,8799,93
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E09,0.069,1.0,0.931,213,172
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E10,-4.286,-3.0,1.286,15519,0
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E11,0.069,1.0,0.931,136,133
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E12,-0.279,-3.0,2.721,1806,79
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E13,1.505,1.0,0.505,114,113
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E14,0.0,-3.0,3.0,132,116
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E15,0.145,1.0,0.855,122,79
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E16,-2.284,-3.0,0.716,949,47
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E17,-0.279,1.0,1.279,280,41
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E18,-5.817,-3.0,2.817,2903,0
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E19,0.685,1.0,0.315,36,36
v6_20k,1,20000,20,400000,30,0,0.563,3,1.0,E20,-1.599,-3.0,1.401,130,21
v6_20k,2,20000,2,20000,30,0,0.0,0,0.068,A,0.998,1.0,0.002,67,67
v6_20k,2,20000,2,20000,30,0,0.0,0,0.068,B,-2.866,-3.0,0.134,3757,33
v6_20k,2,20000,3,40000,30,0,0.667,1,0.096,A,1.061,1.0,0.061,109,109
v6_20k,2,20000,3,40000,30,0,0.667,1,0.096,B,-2.745,-3.0,0.255,8671,50
v6_20k,2,20000,3,40000,30,0,0.667,1,0.096,C,0.904,1.0,0.096,44,43
v6_20k,2,20000,4,60000,30,0,0.833,2,0.2,A,1.032,1.0,0.032,147,147
v6_20k,2,20000,4,60000,30,0,0.833,2,0.2,B,-3.322,-3.0,0.322,13068,58
v6_20k,2,20000,4,60000,30,0,0.833,2,0.2,C,0.922,1.0,0.078,76,75
v6_20k,2,20000,4,60000,30,0,0.833,2,0.2,D,-2.556,-3.0,0.444,1083,15
v6_20k,2,20000,5,80000,30,0,1.0,2,0.374,A,0.957,1.0,0.043,192,192
v6_20k,2,20000,5,80000,30,0,1.0,2,0.374,B,-2.626,-3.0,0.374,16026,72
v6_20k,2,20000,5,80000,30,0,1.0,2,0.374,C,0.917,1.0,0.083,117,116
v6_20k,2,20000,5,80000,30,0,1.0,2,0.374,D,-2.416,-3.0,0.584,3745,42
v6_20k,2,20000,5,80000,30,0,1.0,2,0.374,E05,0.122,1.0,0.878,247,38
v6_20k,2,20000,6,100000,30,0,1.133,2,0.33,A,0.981,1.0,0.019,228,228
v6_20k,2,20000,6,100000,30,0,1.133,2,0.33,B,-2.479,-3.0,0.521,17441,80
v6_20k,2,20000,6,100000,30,0,1.133,2,0.33,C,1.139,1.0,0.139,141,140
v6_20k,2,20000,6,100000,30,0,1.133,2,0.33,D,-2.425,-3.0,0.575,6463,58
v6_20k,2,20000,6,100000,30,0,1.133,2,0.33,E05,0.916,1.0,0.084,289,78
v6_20k,2,20000,6,100000,30,0,1.133,2,0.33,E06,-1.886,-3.0,1.114,1036,20
v6_20k,2,20000,7,120000,30,0,1.048,2,0.195,A,0.966,1.0,0.034,260,260
v6_20k,2,20000,7,120000,30,0,1.048,2,0.195,B,-2.538,-3.0,0.462,20363,92
v6_20k,2,20000,7,120000,30,0,1.048,2,0.195,C,1.06,1.0,0.06,171,170
v6_20k,2,20000,7,120000,30,0,1.048,2,0.195,D,-2.48,-3.0,0.52,8051,69
v6_20k,2,20000,7,120000,30,0,1.048,2,0.195,E05,1.024,1.0,0.024,322,111
v6_20k,2,20000,7,120000,30,0,1.048,2,0.195,E06,-2.153,-3.0,0.847,1590,33
v6_20k,2,20000,7,120000,30,0,1.048,2,0.195,E07,0.805,1.0,0.195,27,26
v6_20k,2,20000,8,140000,30,0,0.821,2,0.093,A,0.991,1.0,0.009,293,293
v6_20k,2,20000,8,140000,30,0,0.821,2,0.093,B,-2.877,-3.0,0.123,22295,101
v6_20k,2,20000,8,140000,30,0,0.821,2,0.093,C,1.023,1.0,0.023,194,193
v6_20k,2,20000,8,140000,30,0,0.821,2,0.093,D,-2.593,-3.0,0.407,9567,77
v6_20k,2,20000,8,140000,30,0,0.821,2,0.093,E05,1.009,1.0,0.009,354,142
v6_20k,2,20000,8,140000,30,0,0.821,2,0.093,E06,-2.272,-3.0,0.728,2219,38
