WbA_post,WbA_pre,WbB_post,WbB_pre,WbB_q1,WbB_q2,WbB_q3,WbB_q4,comeB_post,comida_q1,comida_q2,comida_q3,comida_q4,cond,extingue,hambre_1as_B,mordB_q1,mordB_q2,mordB_q3,mordB_q4,muertes,seed,tA,tB,veneno_q3,veneno_q4
-4.52,9.0,-4.67,-4.76,-4.22,-4.76,-4.67,-4.67,1,,,6,0,2D,0,"[0.96, 0.77, 0.96]",17,2,6,0,263,2,11200,,50,2
-4.34,9.0,-4.39,-4.57,-4.57,-4.57,-4.48,-4.39,1,,,2,1,2D,0,"[0.89, 0.67, 0.97]",17,2,2,1,241,3,15600,,48,2
-4.32,9.0,-4.75,-4.84,-4.3,-4.84,-4.75,-4.75,1,,,2,0,2D,0,"[0.43, 0.93]",18,2,2,0,252,4,12400,,49,1
-4.55,9.0,-5.12,-5.12,-4.31,-5.12,-5.12,-5.12,1,,,1,0,2D,0,[0.53],18,4,1,0,267,5,8600,,49,2
-4.34,9.0,-4.65,-4.74,-4.74,-4.74,-4.74,-4.65,1,,,2,1,2D,0,"[0.9, 0.81, 0.83]",20,3,2,1,251,6,14400,,49,1
-4.61,9.0,-3.57,-4.29,-4.29,-4.29,-4.2,-3.57,1,,,2,7,2D,0,"[0.86, 0.52, 0.8]",20,0,2,7,233,7,11600,,49,2
-4.3,8.82,-3.78,-4.41,-4.14,-4.41,-4.14,-3.78,1,,,3,4,2D,0,"[0.94, 0.87, 0.83]",18,3,3,4,260,8,8000,,49,0
-4.24,9.0,-5.01,-5.1,-4.29,-5.1,-5.01,-5.01,1,,,3,0,2D,0,"[0.77, 0.91, 0.93]",20,5,3,0,260,9,12200,,48,2
-4.28,9.0,-3.32,-4.32,-4.32,-4.32,-4.14,-3.32,1,,,3,9,2D,0,"[0.92, 0.93, 0.94]",18,4,3,9,240,10,11400,,49,1
-4.25,9.0,-3.85,-4.48,-3.67,-4.48,-4.39,-3.85,1,,,3,6,2D,0,"[0.93, 0.85, 0.11]",14,5,3,6,234,11,16600,,48,2
-4.32,9.0,-4.84,-4.84,-4.57,-4.84,-4.84,-4.84,1,,,1,0,2D,0,[0.95],18,5,1,0,262,12,14800,,47,3
-7.56,9.0,-7.62,-7.8,-7.53,-7.8,-7.71,-7.62,1,,,2,1,2E,0,"[0.72, 1.0, 0.98]",31,2,2,1,255,1,13400,,54,8
-7.64,9.0,-8.0,-8.0,-7.73,-8.0,-8.0,-8.0,0,,,0,0,2E,0,[],31,3,0,0,263,2,8800,,60,2
-7.41,9.0,-7.35,-7.53,-6.99,-7.53,-7.44,-7.35,1,,,2,3,2E,0,"[1.0, 0.48, 0.89]",29,5,2,3,244,3,20200,,49,13
-7.74,9.0,-7.54,-7.72,-7.18,-7.72,-7.45,-7.54,1,,,5,2,2E,0,"[0.68, 0.96, 0.76]",30,4,5,2,229,4,12800,,49,15
-7.94,9.0,-7.28,-7.55,-7.55,-7.55,-7.37,-7.28,1,,,8,1,2E,0,"[0.84, 0.04, 0.73]",31,0,8,1,261,5,14200,,57,8
-7.82,9.0,-7.52,-7.79,-7.52,-7.79,-7.61,-7.52,1,,,6,1,2E,0,"[0.55, 0.0, 0.98]",30,3,6,1,250,6,5800,,59,5
-7.71,9.0,-7.89,-7.98,-7.71,-7.98,-7.98,-7.89,1,,,2,1,2E,0,"[0.89, 0.99, 1.0]",29,2,2,1,259,7,7000,,60,3
-7.6,9.0,-7.91,-8.0,-7.46,-8.0,-8.0,-7.91,1,,,2,2,2E,0,"[0.93, 0.54, 0.99]",30,3,2,2,263,8,9200,,57,6
-7.71,8.82,-5.9,-7.79,-7.52,-7.79,-7.52,-5.9,1,,,7,18,2E,0,"[0.92, 0.75, 0.42]",31,3,7,18,239,9,8600,,59,4
-7.67,8.82,-7.55,-7.82,-7.82,-7.82,-7.64,-7.55,1,,,4,1,2E,0,"[0.98, 0.68, 0.58]",31,3,4,1,244,10,13200,,58,4
-7.38,9.0,-7.53,-7.71,-7.71,-7.71,-7.62,-7.53,1,,,1,1,2E,0,"[0.99, 1.0]",29,3,1,1,249,11,10200,,57,4
-7.83,9.0,-7.45,-7.81,-7.27,-7.81,-7.54,-7.45,1,,,4,1,2E,0,"[0.99, 0.95, 0.99]",29,2,4,1,236,12,14400,,55,8
0.0,8.46,-4.48,-4.57,-4.3,-4.57,-4.57,-4.48,1,,,2,3,2F,0,"[0.88, 0.81, 0.49]",18,1,2,3,298,1,,,63,74
0.0,8.73,-4.67,-4.76,-4.22,-4.76,-4.67,-4.67,1,,,4,1,2F,0,"[0.96, 0.77, 0.85]",17,2,4,1,326,2,,,96,87
0.0,8.46,-4.48,-4.57,-4.57,-4.57,-4.48,-4.48,1,,,3,2,2F,0,"[0.89, 0.5, 0.68]",17,2,3,2,288,3,,,62,91
0.0,8.46,-4.84,-4.84,-4.3,-4.84,-4.84,-4.84,1,,,2,1,2F,0,"[0.43, 0.84, 0.57]",18,2,2,1,305,4,,,72,83
0.0,8.19,-5.12,-5.12,-4.31,-5.12,-5.12,-5.12,1,,,1,2,2F,0,"[0.53, 0.87, 0.42]",18,4,1,2,312,5,,,78,74
0.0,7.65,-4.74,-4.74,-4.74,-4.74,-4.74,-4.74,1,,,2,0,2F,0,"[0.9, 0.51]",20,3,2,0,305,6,,,78,76
0.0,7.92,3.4,-4.29,-4.29,-4.29,-3.84,3.4,1,,,6,404,2F,1,"[0.86, 0.52, 0.97]",20,0,6,404,237,7,,39200,58,413
0.0,7.92,-2.32,-4.41,-4.14,-4.41,-3.96,-2.32,1,,,5,19,2F,0,"[0.94, 0.79, 0.45]",18,3,5,19,304,8,,,95,82
0.0,7.38,-5.01,-5.1,-4.29,-5.1,-5.01,-5.01,1,,,3,2,2F,0,"[0.77, 0.91, 0.93]",20,5,3,2,293,9,,,68,60
0.0,7.38,4.68,-4.32,-4.32,-4.32,-3.86,4.68,1,,,7,319,2F,1,"[0.92, 0.93, 0.94]",18,4,7,319,280,10,,42200,88,352
0.0,8.46,-4.3,-4.48,-3.67,-4.48,-4.39,-4.3,1,,,3,4,2F,0,"[0.93, 0.85, 0.11]",14,5,3,4,271,11,,,59,54
0.0,7.64,-4.84,-4.84,-4.57,-4.84,-4.84,-4.84,1,,,1,1,2F,0,"[0.95, 0.43]",18,5,1,1,292,12,,,65,57
-2.99,0.8,0.96,-3.0,-2.99,-3.0,0.99,0.96,1,,,91,75,2G,1,"[0.93, 0.56, 0.88]",68,37,91,75,173,1,800,1200,75,52
-2.97,1.0,0.76,-3.0,-2.99,-3.0,0.88,0.76,1,,,106,108,2G,1,"[0.93, 0.91, 0.76]",62,47,106,108,147,2,800,1200,59,38
-3.0,0.91,0.95,-3.0,-2.93,-3.0,1.0,0.95,1,,,108,101,2G,1,"[0.99, 0.88, 0.73]",53,45,108,101,139,3,400,2200,59,41
-2.92,0.96,1.0,-3.0,-2.99,-3.0,0.87,1.0,1,,,136,86,2G,1,"[0.78, 0.46, 0.44]",57,26,136,86,135,4,1600,1600,61,33
-3.0,0.99,0.7,-2.92,-2.98,-2.92,1.0,0.7,1,,,141,102,2G,1,"[0.93, 0.75, 0.45]",72,63,141,102,164,5,1000,800,63,49
-3.0,0.85,0.9,-2.96,-2.99,-2.96,1.0,0.9,1,,,132,95,2G,1,"[0.99, 0.42, 0.2]",61,47,132,95,132,6,200,1000,52,43
-3.0,1.0,0.82,-3.0,-2.99,-3.0,1.0,0.82,1,,,119,100,2G,1,"[0.89, 0.88, 0.59]",60,37,119,100,144,7,2200,2200,60,39
-3.0,0.75,0.99,-3.0,-2.97,-3.0,0.91,0.99,1,,,118,115,2G,1,"[0.94, 0.66, 0.48]",55,42,118,115,142,8,1400,1600,63,41
-3.0,0.83,0.99,-3.0,-2.99,-3.0,1.0,0.99,1,,,114,91,2G,1,"[0.98, 0.81, 0.58]",66,40,114,91,144,9,400,800,52,39
-3.0,0.83,0.9,-2.98,-2.99,-2.98,1.0,0.9,1,,,88,94,2G,1,"[0.93, 0.99, 0.84]",65,44,88,94,143,10,200,600,57,34
-3.0,0.93,0.82,-3.0,-2.97,-3.0,0.99,0.82,1,,,116,106,2G,1,"[0.58, 0.04, 0.96]",50,48,116,106,149,11,400,800,59,36
-3.0,0.87,1.0,-3.0,-2.97,-3.0,0.95,1.0,1,,,105,94,2G,1,"[0.99, 0.9, 0.55]",49,42,105,94,149,12,400,1000,64,36
-2.98,1.0,1.0,-2.87,-2.89,-2.87,0.91,1.0,1,98,88,101,73,2H,1,"[0.96, 0.72, 0.92]",36,20,101,73,147,1,800,1200,40,17
-2.97,1.0,0.92,-2.98,-2.9,-2.98,1.0,0.92,1,89,60,112,60,2H,1,"[0.81, 0.76, 0.53]",36,19,112,60,148,2,1200,1200,38,17
-2.96,0.87,0.84,-2.97,-2.9,-2.97,1.0,0.84,1,126,82,86,68,2H,1,"[0.74, 0.54, 0.8]",37,17,86,68,139,3,2200,1800,39,15
-2.96,1.0,1.0,-2.96,-2.89,-2.96,1.0,1.0,1,117,96,114,71,2H,1,"[0.63, 0.67, 0.45]",39,11,114,71,126,4,1000,2400,40,13
-2.97,0.8,0.85,-2.97,-2.87,-2.97,1.0,0.85,1,119,66,84,69,2H,1,"[0.91, 0.91, 0.64]",35,16,84,69,145,5,1800,1800,41,13
-2.96,0.94,0.41,-2.98,-2.9,-2.98,0.92,0.41,1,104,91,106,80,2H,1,"[1.0, 0.67, 0.45]",37,16,106,80,131,6,1800,1800,33,22
-2.62,0.99,0.64,-2.97,-2.88,-2.97,1.0,0.64,1,92,57,99,78,2H,1,"[0.97, 0.86, 0.89]",36,15,99,78,148,7,600,2200,38,22
-2.98,0.98,1.0,-2.98,-2.87,-2.98,0.92,1.0,1,115,83,117,83,2H,1,"[0.83, 0.83, 0.81]",36,23,117,83,127,8,1400,1400,50,14
-2.97,1.0,0.99,-2.96,-2.91,-2.96,0.91,0.99,1,90,79,78,73,2H,1,"[0.97, 0.76, 0.32]",39,11,78,73,140,9,2400,2400,38,17
-2.97,1.0,0.83,-2.95,-2.88,-2.95,0.93,0.83,1,99,66,44,100,2H,1,"[0.82, 0.47, 0.53]",34,10,44,100,166,10,1000,9600,40,17
-2.97,0.73,0.96,-2.97,-2.91,-2.97,0.77,0.96,1,112,63,89,74,2H,1,"[0.97, 0.89, 0.88]",39,13,89,74,141,11,400,2600,40,12
-2.95,0.99,1.0,-2.98,-2.9,-2.98,0.86,1.0,1,106,62,77,98,2H,1,"[0.82, 0.5, 0.64]",37,20,77,98,146,12,800,5800,33,19
