bloque,cond,plast,paso_t,lam,seed,t_techo,techo_primero,n_techo,deaths,mv_tot,mc_tot,splits,celdas,t_agot,err_max,Nstar,Mmax,W_A_fin,W_B_fin
C,C_T20,True,20000,0.0,6,162935,"('E10', 'Wn', 162935)",5023,598,2328,3620,60,90,223487,3.0,6,6,,
C,C_T20,True,20000,0.0,7,107097,"('E05', 'Wp', 107097)",3407,657,1602,2589,60,90,294898,2.8457,3,6,,
C,C_T20,True,20000,0.0,8,46160,"('D', 'Wn', 46160)",18951,1429,9961,11314,60,90,68441,3.0,3,2,,
C,C_T20,True,20000,0.0,9,120268,"('E06', 'Wn', 120268)",27094,1251,13029,14788,60,90,146923,3.0,6,4,,
C,C_T20,True,20000,0.0,10,132667,"('E06', 'Wn', 132667)",19598,1143,9724,10757,60,90,216316,3.0,6,5,,
C,C_T20,True,20000,0.0,11,72267,"('D', 'Wn', 72267)",6545,712,2943,4149,60,90,209271,2.9998,3,3,,
C,C_T20,True,20000,0.0,12,184847,"('B', 'Wn', 184847)",18790,1121,9264,10467,60,90,191188,3.0,7,6,,
C,C_T20,True,20000,0.0,13,215190,"('E05', 'Wp', 215190)",1560,574,856,1995,60,90,358670,2.6982,7,8,,
C,C_T20,True,20000,0.0,14,88455,"('B', 'Wn', 88455)",29290,1362,14265,15585,60,90,130861,3.0,5,3,,
C,C_T20,True,20000,0.0,15,112619,"('B', 'Wn', 112619)",25997,1337,12836,13896,60,90,162612,3.0,3,5,,
C,C_T20,True,20000,0.0,16,105591,"('A', 'Wp', 105591)",25747,1342,12801,14401,60,90,165019,3.0,3,4,,
C,C_T20,True,20000,0.0,17,112419,"('E06', 'Wn', 112419)",16777,1070,8362,9761,60,90,136026,3.0,6,4,,
C,C_T20,True,20000,0.0,18,66146,"('C', 'Wp', 66146)",14633,991,6927,8155,60,90,130778,3.0,5,4,,
C,C_T20,True,20000,0.0,19,97231,"('B', 'Wn', 97231)",23542,1283,11548,12655,60,90,165638,3.0,5,5,,
C,C_T20,True,20000,0.0,20,93186,"('C', 'Wp', 93186)",7302,732,3461,4579,60,90,216590,3.0,3,5,,
C,C_T20,True,20000,0.05,1,323443,"('E12', 'Wn', 323443)",9,561,563,1706,46,76,,0.659,7,7,,
C,C_T20,True,20000,0.05,2,,,0,624,402,1344,24,54,,0.6463,4,11,,
C,C_T20,True,20000,0.05,3,,,0,552,600,1777,46,76,,0.6594,7,9,,
C,C_T20,True,20000,0.05,4,,,0,665,412,1294,35,65,,0.643,5,8,,
C,C_T20,True,20000,0.05,5,,,0,529,533,1557,41,71,,0.6441,3,8,,
C,C_T20,True,20000,0.05,6,,,0,542,481,1604,29,59,,0.6458,6,10,,
C,C_T20,True,20000,0.05,7,,,0,570,526,1583,50,80,,0.6704,3,6,,
C,C_T20,True,20000,0.05,8,,,0,572,610,1594,60,90,385752,0.6524,3,7,,
C,C_T20,True,20000,0.05,9,,,0,532,526,1656,52,82,,0.6423,6,7,,
C,C_T20,True,20000,0.05,10,,,0,619,633,1560,60,90,374941,0.8897,6,6,,
C,C_T20,True,20000,0.05,11,,,0,521,517,1604,50,80,,0.6512,3,10,,
C,C_T20,True,20000,0.05,12,,,0,523,486,1714,44,74,,0.6379,7,10,,
C,C_T20,True,20000,0.05,13,393532,"('E14', 'Wn', 393532)",2,545,484,1603,36,66,,0.631,7,8,,
C,C_T20,True,20000,0.05,14,,,0,577,659,1671,60,90,374131,1.2363,5,8,,
C,C_T20,True,20000,0.05,15,291965,"('D', 'Wn', 291965)",30,528,736,1880,60,90,299424,1.0277,3,10,,
C,C_T20,True,20000,0.05,16,257423,"('E12', 'Wn', 257423)",23,557,654,1743,56,86,,0.6481,3,11,,
C,C_T20,True,20000,0.05,17,,,0,577,654,1773,50,80,,0.6468,6,7,,
