  [     0s] lanzo v143 s33006 (vivos 1, en cola 9)
  [     0s] lanzo patas s33006 (vivos 2, en cola 8)
  [     0s] lanzo v143 s33007 (vivos 3, en cola 7)
  [     0s] lanzo patas s33007 (vivos 4, en cola 6)
  [     0s] lanzo v143 s33008 (vivos 5, en cola 5)
  [     0s] lanzo patas s33008 (vivos 6, en cola 4)
  [   155s] lanzo v143 s33009 (vivos 4, en cola 3)
  [   155s] lanzo patas s33009 (vivos 5, en cola 2)
  [   155s] lanzo v143 s33010 (vivos 6, en cola 1)
  [   170s] lanzo patas s33010 (vivos 4, en cola 0)
FIN 14:21:10 en 315s
LANZA 14:21:18 · 19 corridas · max 6 · T 100000
  [     0s] lanzo patas4 s33001 (vivos 1, en cola 18)
  [     0s] lanzo patas_act s33001 (vivos 2, en cola 17)
  [     0s] lanzo patas_limpia s33001 (vivos 3, en cola 16)
  [     0s] lanzo patas_neof s33001 (vivos 4, en cola 15)
  [     0s] lanzo patas_margen s33001 (vivos 5, en cola 14)
  [     0s] lanzo patas_malosuave s33001 (vivos 6, en cola 13)
  [   170s] lanzo patas4 s33002 (vivos 5, en cola 12)
  [   170s] lanzo patas_act s33002 (vivos 6, en cola 11)
  [   175s] lanzo patas_limpia s33002 (vivos 3, en cola 10)
  [   175s] lanzo patas_neof s33002 (vivos 4, en cola 9)
  [   175s] lanzo patas_margen s33002 (vivos 5, en cola 8)
  [   175s] lanzo patas_malosuave s33002 (vivos 6, en cola 7)
  [   355s] lanzo patas4 s33003 (vivos 5, en cola 6)
  [   355s] lanzo patas_act s33003 (vivos 6, en cola 5)
  [   365s] lanzo patas_limpia s33003 (vivos 4, en cola 4)
  [   365s] lanzo patas_neof s33003 (vivos 5, en cola 3)
  [   365s] lanzo patas_margen s33003 (vivos 6, en cola 2)
  [   370s] lanzo patas_malosuave s33003 (vivos 6, en cola 1)
  [   535s] lanzo patas4 s33004 (vivos 5, en cola 0)
FIN 14:32:08 en 650s
LANZA 14:32:18 · 10 corridas · max 6 · T 100000
  [     0s] lanzo neof_fuerte s33001 (vivos 1, en cola 9)
  [     0s] lanzo patas_neof_fuerte s33001 (vivos 2, en cola 8)
  [     0s] lanzo neof_fuerte s33002 (vivos 3, en cola 7)
  [     0s] lanzo patas_neof_fuerte s33002 (vivos 4, en cola 6)
  [     0s] lanzo neof_fuerte s33003 (vivos 5, en cola 5)
  [     0s] lanzo patas_neof_fuerte s33003 (vivos 6, en cola 4)
  [   145s] lanzo neof_fuerte s33004 (vivos 5, en cola 3)
  [   145s] lanzo patas_neof_fuerte s33004 (vivos 6, en cola 2)
  [   150s] lanzo neof_fuerte s33005 (vivos 6, en cola 1)
  [   155s] lanzo patas_neof_fuerte s33005 (vivos 5, en cola 0)
FIN 14:37:48 en 330s
